model,threshold,validation_cost,cv_pr_auc_ap_mean,cv_pr_auc_ap_std,fit_evaluation_seconds,precision,recall,f1,roc_auc,pr_auc_ap,tn,fp,fn,tp,false_positive_rate,false_negative_rate
LogisticRegression,0.5000000000000001,6964,0.6927279414038444,0.008402876347732817,1.4225266000003103,0.6274044170030871,0.7161832474925454,0.6688607594936709,0.8664334357925149,0.686357272857477,14742,1569,1047,2642,0.0961927533566305,0.2838167525074546
RandomForest,0.40000000000000013,6639,0.7268796533519275,0.010985606390341266,5.598914399999558,0.6138238573021182,0.7462727026294389,0.6735992170296061,0.8779127081543339,0.7273993121412299,14579,1732,936,2753,0.10618600944148121,0.2537272973705611
XGBoost,0.45000000000000007,6154,0.748458989173872,0.0062046816923199645,2.4575979999999618,0.6964195663136662,0.7487123881810789,0.7216198563030699,0.8850365803259725,0.7470590180593699,15107,1204,927,2762,0.07381521672490957,0.2512876118189211
